1,365,58,1
1,370,58,1
1,367,59,1
1,385,58,1
1,345,61,1
1,351,61,1
1,368,60,1
2,448,120,1
2,431,115,1
2,423,117,1
2,482,115,1
2,500,116,1
2,443,116,1
2,392,119,1
2,510,117,1
5,514,95,1
5,470,95,1
5,435,95,1
5,506,96,1
5,459,94,1
5,376,95,1
5,551,94,1
5,506,96,1
5,389,94,1
5,506,94,1
5,439,94,1
4,575,74,1
4,561,75,1
4,514,75,1
4,496,75,1
4,581,76,1
4,580,75,1
4,541,75,1
4,537,74,1
4,549,77,1
4,502,75,1
4,558,77,1
4,438,76,1
4,511,75,1
11,633,48,1
11,649,47,1
11,648,47,1
11,642,47,1
11,648,48,1
11,637,47,1
11,627,48,1
11,677,48,1
11,649,48,1
11,667,48,1
11,569,50,1
11,590,50,1
