Left Min,Right Min,Left Max,Right Max,Left Mean,Right Mean
104,106,109,112,106.75,107.916666667
104,105,111,110,107.75,107.375
105,106,111,111,107.625,108.166666667
104,105,111,110,107.791666667,108.083333333
105,107,111,111,107.583333333,108
106,105,111,110,108.333333333,108.291666667
104,106,110,109,106.625,107.5
104,106,110,110,107.125,107.541666667
104,106,112,111,108.083333333,108.5
104,106,111,110,107.125,108.041666667
104,106,111,109,106.958333333,107.583333333
104,106,111,110,107.75,108.208333333
104,106,110,111,107.125,108.375
105,106,112,110,107.416666667,108.041666667
104,106,113,111,108.125,108.25
105,106,112,111,107.291666667,107.791666667
106,105,113,109,108.25,107.666666667
104,106,112,111,107.916666667,108.708333333
102,105,112,110,107.083333333,107.458333333
104,105,112,110,107.791666667,107.166666667
105,105,112,111,108,108.291666667
103,106,111,110,107.208333333,108.208333333
106,106,112,109,107.875,107.125
105,106,111,110,108.208333333,108.291666667
104,105,111,110,107.458333333,107.458333333
104,106,111,111,107.666666667,108
104,105,111,110,107.375,107.625
104,105,110,110,107.375,108
105,107,113,110,107.541666667,108.25
104,105,112,110,107.666666667,108.125
104,105,110,110,107.041666667,107.375
105,106,111,109,107.5,107.75
106,106,112,110,108.25,108.041666667
104,106,111,110,106.708333333,107.708333333
105,105,112,109,107.833333333,107.333333333
104,106,112,110,107.666666667,108.041666667
104,105,113,110,106.958333333,107.75
105,105,114,110,107,107.375
105,106,111,110,107.916666667,107.791666667
104,105,114,109,107.208333333,107.25
104,106,114,110,107.666666667,107.708333333
104,106,112,111,107.166666667,108.583333333
105,105,114,110,107.833333333,107.083333333
105,105,115,109,107.875,107.541666667
104,107,113,110,107.541666667,108.083333333
105,105,111,110,107.291666667,107.458333333
106,106,113,110,108.25,107.875
105,106,114,110,108.5,108.041666667
103,106,111,109,107.666666667,108.125
104,105,112,110,107.625,107.375
104,107,113,111,108.25,108.541666667
104,106,111,109,107.458333333,107.291666667
104,106,112,110,107.583333333,107.958333333
104,106,111,111,107.458333333,107.75
106,106,112,111,108,108.208333333
105,105,112,110,108.083333333,107.875
104,105,112,110,108.208333333,107.625
105,107,111,110,107.541666667,108.125
105,106,112,111,107.458333333,107.875
106,106,112,110,108.666666667,108.25
104,105,112,111,107.666666667,108.458333333
103,106,111,110,106.875,107.166666667
104,106,112,110,108.166666667,108.166666667
105,106,113,111,108.583333333,108.375
105,106,112,109,107.75,107.791666667
106,105,112,110,108.458333333,107.75
105,107,112,112,108.083333333,108.291666667
105,106,112,110,108.041666667,107.625
106,107,112,110,108.583333333,108.5
106,104,111,110,107.75,107.875
105,106,113,110,108.083333333,107.666666667
105,105,115,109,108.583333333,107.708333333
105,106,113,110,108.083333333,107.833333333
104,105,114,110,107.375,107.25
104,105,112,110,108.625,107.583333333
104,106,111,110,106.75,107.875
104,104,112,110,107.5,106.958333333
105,105,112,109,107.791666667,107.541666667
104,107,110,111,107.333333333,108.25
104,106,112,110,107.458333333,107.833333333
105,106,112,110,108.041666667,108.25
104,105,111,110,107,107.625
105,104,111,110,107.791666667,107.208333333
105,105,113,110,108.041666667,107.791666667
104,105,113,110,107.125,107.75
105,105,112,109,107.416666667,106.833333333
105,106,112,111,107.958333333,107.875
104,105,112,111,107.166666667,107.625
104,105,113,109,107.958333333,107.791666667
104,105,113,110,107.625,107.458333333
104,104,112,111,107.041666667,107.958333333
104,105,110,109,107.125,107.291666667
104,107,112,110,107.541666667,108.333333333
104,105,110,110,106.541666667,107.583333333
104,106,111,110,107.5,107.708333333
105,105,112,111,108.125,108.041666667
104,106,109,110,106.666666667,107.833333333
104,106,110,109,107.208333333,107.25
103,105,111,110,107.708333333,107.5
103,105,111,110,106.75,107.666666667
104,105,110,110,107.416666667,107.25
104,104,112,111,107.041666667,107.458333333
103,105,110,110,106.666666667,107.208333333
105,105,110,110,107.875,107.583333333
105,107,112,111,106.916666667,108.666666667
105,105,111,109,106.958333333,107.25
105,106,111,110,107.75,107.708333333
104,105,111,112,107.458333333,108.291666667
103,106,110,110,106.458333333,107.541666667
105,106,110,111,107.833333333,107.875
104,104,111,110,106.625,107.416666667
105,104,111,109,106.958333333,106.916666667
104,105,111,110,107.375,107.25
105,106,110,111,106.833333333,107.666666667
104,104,109,109,106.25,107.083333333
105,105,113,110,108.125,107.291666667
103,105,110,110,105.958333333,107.375
104,105,111,110,106.791666667,106.833333333
104,106,111,110,107.458333333,107.791666667
104,104,112,110,106.916666667,107.208333333
104,105,111,110,106.458333333,107.041666667
105,105,112,109,107.833333333,107.708333333
103,105,111,110,106.416666667,107.708333333
105,105,111,109,107.541666667,106.875
105,106,111,110,106.958333333,107.541666667
104,104,109,110,106.833333333,107.25
105,105,111,110,107.25,107.291666667
105,106,113,110,107.583333333,107.625
101,104,108,109,105.416666667,106.541666667
103,103,111,109,106.583333333,106.958333333
104,105,109,110,106.416666667,107.791666667
104,105,110,110,105.958333333,107.166666667
101,103,108,110,106.083333333,106.958333333
103,106,109,111,106.625,108.125
103,105,108,109,105.833333333,107.333333333
104,106,109,110,106.375,107.75
103,105,109,109,106.25,107.416666667
102,105,108,109,105.333333333,106.875
104,105,111,109,106.916666667,107.291666667
105,105,110,110,106.458333333,107.75
104,105,111,109,105.791666667,106.333333333
104,105,111,109,106.833333333,107.166666667
104,105,109,111,106.291666667,107.75
104,105,109,109,106.041666667,107.416666667
104,105,111,109,106.666666667,106.958333333
103,106,108,110,105.458333333,108
103,106,108,111,105.625,107.75
104,105,111,111,107.375,107.875
103,105,109,110,105.708333333,107.125
104,105,109,109,106.291666667,107.333333333
104,106,110,112,106.75,108.291666667
105,105,109,110,106.333333333,107.791666667
104,105,109,109,106.416666667,106.75
105,106,111,110,107.125,108.041666667
104,106,109,111,106.625,107.875
102,106,110,110,106.416666667,107.75
103,105,109,109,106.5,107.333333333
104,104,108,110,106,107.083333333
104,105,110,109,105.708333333,107.375
103,106,109,110,106.25,108.166666667
104,105,110,111,106.5,107.333333333
104,105,110,109,106.958333333,107.625
105,107,110,110,107.25,108.208333333
103,106,111,109,105.958333333,107.875
