Left Min,Right Min,Left Max,Right Max,Left Mean,Right Mean
105,105,114,112,109.208333333,108.958333333
105,106,114,113,108.791666667,109
105,107,114,111,108.666666667,108.75
106,107,118,113,110.583333333,109.291666667
107,106,115,113,110.25,109.5
106,106,117,111,110.875,107.875
109,107,117,112,112.375,109.458333333
106,107,119,111,111.083333333,108.666666667
106,105,118,111,110.833333333,108
105,108,122,115,110.958333333,109.708333333
104,108,114,119,109.208333333,110.625
105,108,111,118,108.5,110.875
106,109,111,119,108.291666667,111.666666667
105,107,112,121,108.041666667,112.458333333
104,110,114,118,107.791666667,113.666666667
106,110,112,120,108.541666667,114.333333333
105,108,111,124,107.666666667,114.416666667
106,106,110,120,108.583333333,111.625
106,108,111,116,108.166666667,111.291666667
104,106,111,117,107.333333333,110
105,107,112,114,108.125,109.625
106,107,110,112,107.541666667,109.333333333
105,106,110,113,107.333333333,109
105,107,111,112,108.291666667,109.875
104,107,113,113,108.041666667,110.291666667
105,107,110,111,107.833333333,108.291666667
107,107,112,111,108.458333333,109.25
105,106,111,112,107.875,109.541666667
104,105,111,110,107.208333333,108.166666667
105,106,111,112,108.958333333,108.916666667
105,106,112,112,107.458333333,109.083333333
105,106,109,112,107.375,108.875
106,107,111,112,107.833333333,109.291666667
105,107,110,113,107.375,109.291666667
104,104,111,112,107.5,108.708333333
105,107,113,112,108.375,109.541666667
104,107,112,112,106.875,109.291666667
105,107,112,110,107.833333333,108.5
105,108,111,112,108.625,109.666666667
106,106,112,113,108.208333333,109.666666667
104,107,111,113,107.541666667,109.625
106,108,112,115,109.333333333,110.125
105,108,112,126,108.541666667,114.416666667
105,110,111,125,108.208333333,115.583333333
104,110,110,123,107.125,117
106,110,113,120,109.541666667,113.708333333
106,109,118,118,110.416666667,112
107,108,122,113,113.708333333,110.125
107,106,118,113,113.041666667,109.416666667
108,107,120,112,113.166666667,109.625
107,107,118,113,112.083333333,109.625
107,106,116,111,110.25,109.125
105,106,116,112,110,109.166666667
106,106,116,111,109.625,108.541666667
106,107,115,112,108.958333333,108.75
104,105,110,109,106.5,106.791666667
103,106,108,111,106.041666667,107.791666667
104,105,111,111,106.291666667,107.291666667
104,105,111,110,106.333333333,107.666666667
103,105,109,109,105.666666667,106.791666667
106,105,114,110,107.958333333,107.75
